,idx,source_prompt,target_prompt,instructions
202,197658-input,Cather preparing to catch ball in an empty field,Cather catching ball in an empty field.,Add a ball coming towards the player.
203,102174-input,a work desk with a monitor and keyboard,"Cockatiel perched on work desk with open mouth, monitor and keyboard in background",make the cockatiel open its mouth
204,102174-output1,"Cockatiel perched on work desk with open mouth, monitor and keyboard in background","Cockatiel watching a video on work desk with open mouth, monitor and keyboard in background",make the screen show a video webpage
205,102174-output2,"Cockatiel watching a video on work desk with open mouth, monitor and keyboard in background","Cockatiel watching a video on work desk with open mouth, black monitor and keyboard in background",let the computer be black
206,550000-input,A man standing next to a baseball plate holding a bat.,A woman standing next to a baseball plate holding a bat.,swap the boys for a girl
207,483357-input,"An empty clean bathroom with a tiled floor, bathtub and sink.","A clean bathroom with a tiled floor, bathtub, sink, and a vase of flowers.",Le'ts add a vase of flowers on the sink.
208,326408-input,"The many sandwiches have meat, lettuce, tomato, and cheese.","The many sandwiches have meat, lettuce, tomato, cheese, and an unwelcome guest.",Put a rat near the sandwiches.
209,257558-input,several stuffed teddy bears hanging from the ceiling,Several stuffed teddy bears and a grizzly bear hanging from the ceiling,add a grizzly bear near the stuffed bear
210,257558-output1,Several stuffed teddy bears and a grizzly bear hanging from the ceiling,Several stuffed teddy bears and a grizzly bear hanging from the ceiling with a big star on the Christmas tree,add a big star on the xmas tree
211,257558-output2,Several stuffed teddy bears and a grizzly bear hanging from the ceiling with a big star on the Christmas tree,Several stuffed teddy bears and a grizzly bear hanging from the ceiling with gift boxes near the big star on the Christmas tree,add gift boxes near the bears
212,377056-input,A flat screen TV mounted to a wall.,A flat screen TV mounted to a wall with a flamingo standing nearby.,Add a flamingo.
213,45071-input,The multi-colored cat is standing on a luggage bag.,Shocked multi-colored cat standing on a luggage bag.,let the cat looked shocked
214,45071-output1,Shocked multi-colored cat standing on a luggage bag.,Hungry multi-colored cat standing on a luggage bag with cat food next to it.,add cat food next to the bag
215,45071-output2,Hungry multi-colored cat standing on a luggage bag with cat food next to it.,Hungry multi-colored cat standing on a luggage bag with white ball and cat food next to it.,let the ball be white
216,106172-input,A guy posing with a guitar while making a song.,A guy posing with a guitar while making a song.,Remove the computer.
217,106172-output1,A guy posing with a guitar while making a song.,Cool guy posing with a guitar and wearing sunglasses while making a song.,He should be wearing sunglasses.
218,106172-output2,Cool guy posing with a guitar and wearing sunglasses while making a song.,Cool guy posing with a guitar and wearing sunglasses while making a song with a party hat on his head.,There should be a party hat on his head.
219,517548-input,A charming country bathroom includes a hotel style wall hung blowdryer.,A charming country bathroom with a hotel style wall hung blowdryer and an open toilet lid.,Can we open the lid of the toilet?
220,517548-output1,A charming country bathroom with a hotel style wall hung blowdryer and an open toilet lid.,"A charming country bathroom with a hotel style wall hung blowdryer, an open toilet lid, and a mirror on the wall.",add a mirror to the wall.
221,517548-output2,"A charming country bathroom with a hotel style wall hung blowdryer, an open toilet lid, and a mirror on the wall.","A charming white country bathroom with a hotel style wall hung blowdryer, an open toilet lid, and a mirror on the wall.",the sink should be white.
222,297154-input,a blue and yellow plane is in the sky,A red and white plane is in the sky,change the blue and yellow to red and white plane
223,297154-output1,A red and white plane is in the sky,A flock of birds fly alongside a red and white plane in the sky,add birds flying in the sky
224,297154-output2,A flock of birds fly alongside a red and white plane in the sky,No caption provided,remove the words
225,134689-input,there is a very tall giraffe standing in the wild,A tall giraffe and a zebra standing in the wild,Add a zebra.
226,232025-input,A pitcher and two other players on a baseball field.,Jumping pitcher and two other players on a baseball field.,make the pitcher jump
227,232025-output1,Jumping pitcher and two other players on a baseball field.,Pitcher jumping with a motorcycle behind him and two other players on a baseball field.,put a motorcycle behind the pitcher
228,232025-output2,Pitcher jumping with a motorcycle behind him and two other players on a baseball field.,"Pitcher jumping with a motorcycle behind him, two other players, and a car on a baseball field.",put a car in the background
229,276552-input,A man cutting food with a knife and a fork,A man cutting food with a knife and a fork while looking at the camera,make the man look to the camera
230,528488-input,This dog is playing frisbee in the snow,This dog is playing with a bone in the snow,Change the frisbee to a bone
231,528488-output1,This dog is playing with a bone in the snow,This dog is playing with a bone in the snow while wearing boots,Have the dog be wearing boots
232,401433-input,Lady wearing a hat and sunglasses riding on an animal.,Lady wearing a hat and sunglasses riding on a leopard.,change the elephant into a leopard
233,401433-output1,Lady wearing a hat and sunglasses riding on a leopard.,Lady wearing a hat and sunglasses crying while riding on a leopard.,let the woman cry
234,401433-output2,Lady wearing a hat and sunglasses crying while riding on a leopard.,Man wearing a cowboy hat riding on a leopard with a crying lady wearing sunglasses.,let the man wear a cowboy hat
235,246184-input,There are many surf boards lined up together,An old man admires the many surf boards lined up together,let an old man look at surf boards
236,246184-output1,An old man admires the many surf boards lined up together,An old man and an earthworm admire the many surf boards lined up together,let there be an earthworm on the surfboard
237,246184-output2,An old man and an earthworm admire the many surf boards lined up together,A surfboard with a painted face joins an old man and an earthworm admiring the many boards lined up together,let a surfboard have a face painted on it
238,55241-input,The cows are standing on the hay in a meadow.,A cow wearing a hat stands on hay in a meadow.,Have the cow wear a hat.
239,170908-input,A white kitchen with the draws and cupboards taken removed.,A white kitchen with low ceilings and the drawers and cupboards removed.,make the ceilings low
